,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
354,3TKXBROM6XYPP91P6AKDIJK98J9IJB,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3SUWZRL0M3147THQHA5YDKDYT6EE68,A39XF45WLMIGX2,Submitted,2020-05-25 18:04:26,2020-05-25 19:08:05,Thu May 28 19:08:05 PDT 2020,,,,3819,100% (2/2),100% (2/2),100% (2/2),cnndm2292,unilm_out_v1,"['448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463']","Tottenham will subsidise Emmanuel Adebayor's # 100,000 - per - week wages . The Togolese striker is out of favour under Mauricio Pochettino . The 31 - year - old has made just nine league starts for Spurs this season . The striker will be made available for loan or a permanent move . Click here for all the latest Tottenham Hotspur News .",Emmanuel Adebayor has contract with Tottenham.,Emmanuel Adebayor's contract runs out in 2016.,Emmanuel Adebayor is a striker.,Emmanuel Adebayor / the striker wants more than his current salary.,Emmanuel Adebayor / the stirker earns 5.2 million.,Emmanuel Adebayor / the striker wants more than his current salary before accepting a move out of White Hart Lane.,Emmanuel Adebayor / the striker is from Togolese.,Emmanuel Adebayor / the striker has made nine league starts.,Emmanuel Adebayor / the striker has made nine league starts this season.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,n,n,n,p,p,p,{},,
355,3TKXBROM6XYPP91P6AKDIJK98J9IJB,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3VZLGYJEYQYF13SIEKS1Y7R0EGKZXR,A37WDOIQH6JM6V,Submitted,2020-05-25 17:56:38,2020-05-25 17:58:05,Thu May 28 17:58:05 PDT 2020,,,,87,100% (15/15),100% (15/15),100% (15/15),cnndm2292,unilm_out_v1,"['448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463']","Tottenham will subsidise Emmanuel Adebayor's # 100,000 - per - week wages . The Togolese striker is out of favour under Mauricio Pochettino . The 31 - year - old has made just nine league starts for Spurs this season . The striker will be made available for loan or a permanent move . Click here for all the latest Tottenham Hotspur News .",Emmanuel Adebayor has contract with Tottenham.,Emmanuel Adebayor's contract runs out in 2016.,Emmanuel Adebayor is a striker.,Emmanuel Adebayor / the striker wants more than his current salary.,Emmanuel Adebayor / the stirker earns 5.2 million.,Emmanuel Adebayor / the striker wants more than his current salary before accepting a move out of White Hart Lane.,Emmanuel Adebayor / the striker is from Togolese.,Emmanuel Adebayor / the striker has made nine league starts.,Emmanuel Adebayor / the striker has made nine league starts this season.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,n,n,n,p,p,p,{},,
356,3TRB893CTNYI9NUSFDVDUH2K2BH7G1,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,37UQDCYH62J4D4HHVAZ0J21GOBNV7E,A104V8NZIQFN2F,Submitted,2020-05-25 16:54:31,2020-05-25 16:55:35,Thu May 28 16:55:35 PDT 2020,,,,64,0% (0/0),0% (0/0),0% (0/0),cnndm10231,unilm_out_v1,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The Red Wings ` Drew Miller was left with a gruesome red wound that required 50 to 60 stitches to close along multiple layers of skin . The incident occurred during the first period of Tuesday's game between the Red Wings and the Senators . While falling to the ice , Ottawa's Mark Stone lifted his skate and struck Miller under the visor with the blade . Miller .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
357,3TRB893CTNYI9NUSFDVDUH2K2BH7G1,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,3DIP6YHAPHGRB70EAP2WXY9PZ108EK,A2H0VR477QHYO7,Submitted,2020-05-25 17:41:03,2020-05-25 17:47:25,Thu May 28 17:47:25 PDT 2020,,,,382,100% (3/3),100% (3/3),100% (3/3),cnndm10231,unilm_out_v1,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The Red Wings ` Drew Miller was left with a gruesome red wound that required 50 to 60 stitches to close along multiple layers of skin . The incident occurred during the first period of Tuesday's game between the Red Wings and the Senators . While falling to the ice , Ottawa's Mark Stone lifted his skate and struck Miller under the visor with the blade . Miller .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
358,3UEDKCTPAZENB9QB54GSS9UD9SY7K4,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:29 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:29 PDT 2020,,,324G5B4FB8WOK3G1SDBBY9BQUGI071,A1A3J5IXCM8A7X,Submitted,2020-05-25 17:32:08,2020-05-25 17:33:28,Thu May 28 17:33:28 PDT 2020,,,,80,0% (0/0),0% (0/0),0% (0/0),cnndm10537,unilm_out_v1,"['688', '689', '690', '691', '692', '693', '694', '695', '696', '697', '698', '699', '700', '701', '702', '703']","Matt Pliska , who has Down Syndrome , asked Mikenzy Snell to be his prom date last year . On their big night , they were photographed holding a sign that read : ` Real Friends Don't count chromosomes ' , referring to the fact that Down syndrome occurs when an individual has an extra copy of chromosome 21 . The pair from Waupaca , Michigan , became fast .",Matt Pliska has Down syndrome.,Matt Pliska is a High School student.,Mikenzy Snell is a High School student.,The High School is a Michigan High School.,Mikenzy Snell and Matt Pliska made plans.,The plan was to go to junior prom together.,The plans were made last year.,There was a prom picture.,The pair / Mikenzy Snell and Matt Pliska had a prom picture.,The pair / Mikenzy Snell and Matt Pliska held up a sign in the prom picture.,The sign read : ` Real Friends don't count chromosomes '.,The sign references a fact about Down syndrome / chromosomes.,People with Down syndrome have an extra copy of chromosome 21.,BLANK,BLANK,BLANK,p,p,p,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
359,3UEDKCTPAZENB9QB54GSS9UD9SY7K4,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:29 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:29 PDT 2020,,,3TXD01ZLD957H2AYOMROK4FNJ3SU4A,AKTQD9Y44G495,Submitted,2020-05-25 17:15:23,2020-05-25 17:40:47,Thu May 28 17:40:47 PDT 2020,,,,1524,100% (33/33),100% (33/33),100% (33/33),cnndm10537,unilm_out_v1,"['688', '689', '690', '691', '692', '693', '694', '695', '696', '697', '698', '699', '700', '701', '702', '703']","Matt Pliska , who has Down Syndrome , asked Mikenzy Snell to be his prom date last year . On their big night , they were photographed holding a sign that read : ` Real Friends Don't count chromosomes ' , referring to the fact that Down syndrome occurs when an individual has an extra copy of chromosome 21 . The pair from Waupaca , Michigan , became fast .",Matt Pliska has Down syndrome.,Matt Pliska is a High School student.,Mikenzy Snell is a High School student.,The High School is a Michigan High School.,Mikenzy Snell and Matt Pliska made plans.,The plan was to go to junior prom together.,The plans were made last year.,There was a prom picture.,The pair / Mikenzy Snell and Matt Pliska had a prom picture.,The pair / Mikenzy Snell and Matt Pliska held up a sign in the prom picture.,The sign read : ` Real Friends don't count chromosomes '.,The sign references a fact about Down syndrome / chromosomes.,People with Down syndrome have an extra copy of chromosome 21.,BLANK,BLANK,BLANK,p,p,p,p,n,n,n,p,p,p,p,p,p,p,p,p,{},,
360,3URJ6VVYVTB9IDT71YAEWERC2VI4O1,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3ON104KXQPKK96Z3JM6P2S0K4J44WK,A314XJY8V1YL12,Submitted,2020-05-25 17:16:49,2020-05-25 17:19:20,Thu May 28 17:19:20 PDT 2020,,,,151,0% (0/0),0% (0/0),0% (0/0),cnndm9325,unilm_out_v1,"['992', '993', '994', '995', '996', '997', '998', '999', '1000', '1001', '1002', '1003', '1004', '1005', '1006', '1007']","Catholic Church figures show number of women becoming nuns has trebled from 15 in 2009 to 45 last year . From a low of seven in 2004 , the figure has been rising for the past decade . Theodora Hawksley , 29 , was until recently a post-doctoral researcher in theology at the University of Edinburgh . She joined the Congregation of Jesus in January and is now living in .",There are figures/numbers from the Catholic Church.,Figures/Numbers show more and more becoming nuns.,A number of women are taking holy vows.,The number of women taking holy vows stood at just seven sometime in the past.,The number of women taking holy vows was seven in 2004.,The number of women taking holy vows had risen to 15.,The number of women taking holy vows had had risen to 15 in 2009.,The number of women taking holy vows had risen to 45.,The number of women taking holy vows had had risen to 45 in the last year.,One father made a statement.,The statement was about the reason people are being led towards religion.,The statement cites ' gap in the market for meaning ' as reason for people being led towards religion,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
361,3URJ6VVYVTB9IDT71YAEWERC2VI4O1,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3ZAK8W07I92QIESX5L4M81PA2RD0U1,A12ATVBE1I4567,Submitted,2020-05-25 17:15:01,2020-05-25 17:48:57,Thu May 28 17:48:57 PDT 2020,,,,2036,0% (0/0),0% (0/0),0% (0/0),cnndm9325,unilm_out_v1,"['992', '993', '994', '995', '996', '997', '998', '999', '1000', '1001', '1002', '1003', '1004', '1005', '1006', '1007']","Catholic Church figures show number of women becoming nuns has trebled from 15 in 2009 to 45 last year . From a low of seven in 2004 , the figure has been rising for the past decade . Theodora Hawksley , 29 , was until recently a post-doctoral researcher in theology at the University of Edinburgh . She joined the Congregation of Jesus in January and is now living in .",There are figures/numbers from the Catholic Church.,Figures/Numbers show more and more becoming nuns.,A number of women are taking holy vows.,The number of women taking holy vows stood at just seven sometime in the past.,The number of women taking holy vows was seven in 2004.,The number of women taking holy vows had risen to 15.,The number of women taking holy vows had had risen to 15 in 2009.,The number of women taking holy vows had risen to 45.,The number of women taking holy vows had had risen to 45 in the last year.,One father made a statement.,The statement was about the reason people are being led towards religion.,The statement cites ' gap in the market for meaning ' as reason for people being led towards religion,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
362,3UUSLRKAVPRFX3K1DNU5OWZNPJ17DR,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,33CID57109HJGG40FUU4JCRYSCF3LG,AKTQD9Y44G495,Submitted,2020-05-25 18:08:45,2020-05-25 19:17:53,Thu May 28 19:17:53 PDT 2020,,,,4148,100% (33/33),100% (33/33),100% (33/33),cnndm10586,unilm_out_v1,"['576', '577', '578', '579', '580', '581', '582', '583', '584', '585', '586', '587', '588', '589', '590', '591']","The money was collected from students at the University of Surrey . It was then submerged in agar - a substance that allows bacteria to grow quickly . The students found thousands of bacteria colonies living on their money . Among the bacteria found on a ten pound note is Bacillus mycoides . It's common in soil , so it's likely someone was gardening before handling cash . While most .",Students discovered colonies.,Students were from University of Surrey.,There were thousands of colonies.,Students submerged coins in agar.,Students submerged notes in agar.,Submerging things in agar accelerated growth PF bacteria.,Most bacteria was harmless on the money.,One bacteria caused boils.,One bacteria caused spots.,Previous studies have revealed MRSA bacteria on notes.,Previous studies have revealed MRSA bacteria on coins.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
363,3UUSLRKAVPRFX3K1DNU5OWZNPJ17DR,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,3VHP9MDGRS8LTOQNMC27H2Q81T4FCJ,A3HII8DX9SINOU,Submitted,2020-05-25 18:02:31,2020-05-25 18:03:54,Thu May 28 18:03:54 PDT 2020,,,,83,100% (43/43),100% (43/43),100% (43/43),cnndm10586,unilm_out_v1,"['576', '577', '578', '579', '580', '581', '582', '583', '584', '585', '586', '587', '588', '589', '590', '591']","The money was collected from students at the University of Surrey . It was then submerged in agar - a substance that allows bacteria to grow quickly . The students found thousands of bacteria colonies living on their money . Among the bacteria found on a ten pound note is Bacillus mycoides . It's common in soil , so it's likely someone was gardening before handling cash . While most .",Students discovered colonies.,Students were from University of Surrey.,There were thousands of colonies.,Students submerged coins in agar.,Students submerged notes in agar.,Submerging things in agar accelerated growth PF bacteria.,Most bacteria was harmless on the money.,One bacteria caused boils.,One bacteria caused spots.,Previous studies have revealed MRSA bacteria on notes.,Previous studies have revealed MRSA bacteria on coins.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
364,3UY4PIS8RV9A8TWCD1RZJRK4013N1S,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:31 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:31 PDT 2020,,,38SKSKU7R6LY6JMJ0X1RNITNBUBILU,A1A3J5IXCM8A7X,Submitted,2020-05-25 18:07:15,2020-05-25 18:08:15,Thu May 28 18:08:15 PDT 2020,,,,60,0% (0/0),0% (0/0),0% (0/0),cnndm5626,unilm_out_v1,"['1216', '1217', '1218', '1219', '1220', '1221', '1222', '1223', '1224', '1225', '1226', '1227', '1228', '1229', '1230', '1231']","Michael Pulman , 33 , a care worker from Walsall , has spent # 7,500 on a hair transplant . He believes it will boost his self - esteem and happiness . Andrea Carter , 72 , from Leighton Buzzard , has her baggy jowls removed . She paid # 3,100 for liposuction on her thighs , which she feels are too big . Emma Tallon , 27 , said : ` .",Harley Street is a top destination,Harley Street is a top destination for private cosmetic surgery.,Patients pay thousands for cosmetic treatments.,Patients hope treatment will change their lives.,Michael is 33.,"Michael spent 7,500.","Michael spent 7,500 on a hair transplant.",Michael got hair transplant to boost his self - esteem.,Andrea is 72.,Andrea pays for a facelift.,Andrea husband can't tell the difference after her facelift.,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,n,n,p,p,p,p,p,{},,
365,3UY4PIS8RV9A8TWCD1RZJRK4013N1S,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:31 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:31 PDT 2020,,,3VNXK88KKH68RN5AA7XKXYSMJ2PV96,A12ATVBE1I4567,Submitted,2020-05-25 18:06:36,2020-05-25 18:29:53,Thu May 28 18:29:53 PDT 2020,,,,1397,0% (0/0),0% (0/0),0% (0/0),cnndm5626,unilm_out_v1,"['1216', '1217', '1218', '1219', '1220', '1221', '1222', '1223', '1224', '1225', '1226', '1227', '1228', '1229', '1230', '1231']","Michael Pulman , 33 , a care worker from Walsall , has spent # 7,500 on a hair transplant . He believes it will boost his self - esteem and happiness . Andrea Carter , 72 , from Leighton Buzzard , has her baggy jowls removed . She paid # 3,100 for liposuction on her thighs , which she feels are too big . Emma Tallon , 27 , said : ` .",Harley Street is a top destination,Harley Street is a top destination for private cosmetic surgery.,Patients pay thousands for cosmetic treatments.,Patients hope treatment will change their lives.,Michael is 33.,"Michael spent 7,500.","Michael spent 7,500 on a hair transplant.",Michael got hair transplant to boost his self - esteem.,Andrea is 72.,Andrea pays for a facelift.,Andrea husband can't tell the difference after her facelift.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,n,p,p,p,p,p,{},,
